Age,male.mx,male.qx,male.lx,male.dx,male.ex,female.mx,female.qx,female.lx,female.dx,female.ex
20,0.00046,0.00046,99211.8,45.7,59.74,0.000194,0.000194,99423.9,19.3,63.38
21,0.000462,0.000462,99166.2,45.8,58.77,0.000216,0.000216,99404.6,21.5,62.39
22,0.00047,0.00047,99120.4,46.6,57.8,0.000206,0.000206,99383.1,20.5,61.4
23,0.000507,0.000507,99073.8,50.3,56.82,0.00022,0.00022,99362.6,21.9,60.41
24,0.000499,0.000499,99023.5,49.4,55.85,0.000222,0.000222,99340.7,22.1,59.43
25,0.00056,0.00056,98974.1,55.4,54.88,0.000252,0.000252,99318.7,25.1,58.44
26,0.000565,0.000565,98918.7,55.9,53.91,0.000248,0.000248,99293.6,24.6,57.45
27,0.00057,0.00057,98862.8,56.3,52.94,0.000304,0.000304,99269,30.2,56.47
28,0.000611,0.00061,98806.5,60.3,51.97,0.00032,0.00032,99238.9,31.8,55.49
29,0.000658,0.000658,98746.2,65,51,0.000289,0.000289,99207.1,28.7,54.5
30,0.000695,0.000695,98681.2,68.6,50.03,0.000359,0.000359,99178.4,35.6,53.52
31,0.000754,0.000753,98612.6,74.3,49.07,0.000406,0.000406,99142.8,40.2,52.54
32,0.000748,0.000748,98538.3,73.7,48.11,0.00043,0.00043,99102.6,42.6,51.56
33,0.00082,0.000819,98464.6,80.7,47.14,0.000453,0.000453,99060,44.9,50.58
34,0.000874,0.000873,98384,85.9,46.18,0.000514,0.000514,99015.1,50.9,49.6
35,0.000949,0.000948,98298.1,93.2,45.22,0.000559,0.000558,98964.2,55.3,48.63
36,0.001027,0.001026,98204.9,100.8,44.26,0.000573,0.000573,98908.9,56.7,47.66
37,0.001192,0.001191,98104.1,116.9,43.31,0.000619,0.000619,98852.2,61.2,46.68
38,0.001256,0.001255,97987.2,123,42.36,0.000688,0.000687,98791,67.9,45.71
39,0.001341,0.001341,97864.2,131.2,41.41,0.000805,0.000805,98723.1,79.4,44.74
40,0.001469,0.001468,97733,143.5,40.47,0.000821,0.00082,98643.7,80.9,43.78
41,0.001556,0.001555,97589.5,151.7,39.52,0.000943,0.000943,98562.8,92.9,42.81
42,0.00172,0.001719,97437.8,167.5,38.59,0.001011,0.001011,98469.9,99.5,41.85
43,0.001801,0.0018,97270.3,175,37.65,0.00113,0.001129,98370.3,111.1,40.9
44,0.001988,0.001986,97095.3,192.8,36.72,0.001245,0.001244,98259.3,122.2,39.94
45,0.002163,0.00216,96902.4,209.3,35.79,0.001334,0.001333,98137,130.8,38.99
46,0.002274,0.002271,96693.1,219.6,34.87,0.001448,0.001447,98006.2,141.8,38.04
47,0.002398,0.002395,96473.5,231.1,33.94,0.001579,0.001578,97864.4,154.4,37.1
48,0.002618,0.002614,96242.4,251.6,33.02,0.001687,0.001686,97710,164.7,36.15
49,0.002824,0.00282,95990.8,270.7,32.11,0.001934,0.001933,97545.2,188.5,35.21
50,0.003014,0.00301,95720.1,288.1,31.2,0.002084,0.002082,97356.7,202.7,34.28
51,0.003357,0.003351,95432,319.8,30.29,0.0023,0.002297,97154.1,223.2,33.35
52,0.003675,0.003669,95112.2,348.9,29.39,0.002545,0.002542,96930.9,246.4,32.43
53,0.004134,0.004126,94763.2,391,28.5,0.002751,0.002747,96684.5,265.6,31.51
54,0.004457,0.004447,94372.3,419.7,27.61,0.003005,0.003,96418.9,289.3,30.59
55,0.004811,0.004799,93952.6,450.9,26.74,0.003331,0.003326,96129.6,319.7,29.68
56,0.005432,0.005418,93501.7,506.6,25.86,0.003622,0.003615,95809.9,346.4,28.78
57,0.005975,0.005957,92995.2,553.9,25,0.003996,0.003988,95463.6,380.7,27.88
58,0.006597,0.006575,92441.2,607.8,24.15,0.004294,0.004285,95082.8,407.4,26.99
59,0.007241,0.007214,91833.4,662.5,23.3,0.004854,0.004842,94675.4,458.4,26.11
60,0.007977,0.007945,91170.9,724.3,22.47,0.005189,0.005175,94217,487.6,25.23
61,0.008685,0.008648,90446.5,782.1,21.65,0.005708,0.005692,93729.4,533.5,24.36
62,0.009555,0.00951,89664.4,852.7,20.83,0.006224,0.006205,93195.9,578.2,23.5
63,0.010248,0.010196,88811.7,905.5,20.03,0.006678,0.006656,92617.6,616.4,22.64
64,0.01102,0.010959,87906.2,963.4,19.23,0.007142,0.007117,92001.2,654.7,21.79
65,0.011981,0.011909,86942.8,1035.4,18.43,0.007877,0.007846,91346.5,716.7,20.94
66,0.013397,0.013308,85907.3,1143.3,17.65,0.008634,0.008597,90629.8,779.1,20.1
67,0.014843,0.014733,84764.1,1248.9,16.88,0.009895,0.009846,89850.7,884.7,19.27
68,0.015935,0.015809,83515.2,1320.3,16.13,0.010532,0.010477,88966,932.1,18.46
69,0.017905,0.017746,82194.9,1458.6,15.38,0.01163,0.011563,88033.9,1017.9,17.65
70,0.020411,0.020205,80736.3,1631.3,14.65,0.013158,0.013072,87015.9,1137.5,16.85
71,0.022581,0.022329,79105,1766.3,13.94,0.014307,0.014205,85878.4,1219.9,16.07
72,0.025285,0.024969,77338.7,1931.1,13.24,0.016427,0.016293,84658.5,1379.3,15.29
73,0.02708,0.026718,75407.6,2014.8,12.57,0.017833,0.017676,83279.2,1472,14.54
74,0.030307,0.029854,73392.9,2191.1,11.9,0.020033,0.019834,81807.1,1622.6,13.79
75,0.03326,0.032716,71201.8,2329.4,11.25,0.022258,0.022013,80184.6,1765.1,13.06
76,0.037238,0.036557,68872.3,2517.8,10.62,0.025008,0.024699,78419.5,1936.9,12.34
77,0.040715,0.039903,66354.6,2647.7,10,0.028217,0.027825,76482.6,2128.1,11.64
78,0.046062,0.045025,63706.8,2868.4,9.4,0.031715,0.03122,74354.5,2321.3,10.96
79,0.051072,0.049801,60838.4,3029.8,8.82,0.035859,0.035227,72033.1,2537.5,10.3
80,0.057769,0.056147,57808.6,3245.8,8.25,0.041426,0.040585,69495.6,2820.5,9.66
81,0.065517,0.063439,54562.8,3461.4,7.71,0.046187,0.045145,66675.2,3010,9.04
82,0.074517,0.071841,51101.4,3671.2,7.2,0.052767,0.051411,63665.1,3273.1,8.45
83,0.083578,0.080226,47430.3,3805.1,6.72,0.060453,0.05868,60392,3543.8,7.88
84,0.093402,0.089234,43625.1,3892.9,6.26,0.069489,0.067156,56848.2,3817.7,7.34
85,0.104895,0.099667,39732.3,3960,5.83,0.078364,0.07541,53030.6,3999,6.83
86,0.118038,0.11146,35772.3,3987.2,5.42,0.088871,0.08509,49031.5,4172.1,6.35
87,0.131291,0.123203,31785.1,3916,5.03,0.099839,0.095092,44859.5,4265.8,5.89
88,0.147698,0.137541,27869.1,3833.1,4.67,0.112572,0.106573,40593.7,4326.2,5.46
89,0.16576,0.153073,24035.9,3679.3,4.33,0.128675,0.120897,36267.5,4384.6,5.05
90,0.183662,0.168215,20356.7,3424.3,4.03,0.145331,0.135486,31882.9,4319.7,4.67
91,0.208369,0.188709,16932.4,3195.3,3.74,0.166315,0.153546,27563.2,4232.2,4.33
92,0.226635,0.203568,13737.1,2796.4,3.49,0.184433,0.168861,23331,3939.7,4.02
93,0.249174,0.221569,10940.7,2424.1,3.26,0.202186,0.183623,19391.3,3560.7,3.74
94,0.255161,0.226291,8516.6,1927.2,3.04,0.217984,0.196561,15830.6,3111.7,3.46
95,0.298146,0.259466,6589.3,1709.7,2.79,0.251796,0.22364,12718.9,2844.5,3.19
96,0.330024,0.283279,4879.6,1382.3,2.59,0.284042,0.248719,9874.4,2456,2.97
97,0.368664,0.311284,3497.3,1088.7,2.42,0.303328,0.263382,7418.5,1953.9,2.78
98,0.38549,0.323196,2408.7,778.5,2.28,0.331077,0.284055,5464.6,1552.2,2.6
99,0.424032,0.349857,1630.2,570.3,2.13,0.363513,0.307604,3912.3,1203.5,2.43
100,0.451324,0.368229,1059.9,390.3,2.01,0.390878,0.326975,2708.9,885.7,2.29
